"材料品番","材料名","単位","ID"
"4167991","CTN ﾃﾞﾀｰｸﾘｰﾝLK 12KGX2","EA","2241"
"959770","LBL ﾃﾞﾀｰｸﾘｰﾝLK 12KG ﾛｰﾙ","EA","2242"
"2903772","BI ★GEN2 (DL)","KG","2243"
"932550","BTL 10Lﾍﾝﾍﾟｲﾎﾞﾄﾙ ｱｵ","EA","2244"
"900000","DRM 充填機液回収ﾄﾞﾗﾑ","EA","2245"
"4032499","BTL 10BLD･KM344ﾅﾁｭﾗﾙ","EA","2246"
"2886351","CAP KC50420(10･12.5L共用)","EA","2247"
"3404570","CTN ﾆｭｰﾘﾝｽｴｰｽ 10KGX2","EA","2248"
"3755476","LBL ﾆｭｰﾘﾝｽｴｰｽ 10KGﾛｰﾙ","EA","2249"
"3411551","BI ★ﾆｭｰﾘﾝｽｴｰｽ","KG","2250"
"900000","DRM 充填機液回収ﾄﾞﾗﾑ","EA","2251"
"3404490","BTL ﾆｭｰﾘﾝｽｴｰｽ 5KG","EA","2252"
"941120","CAP KC5007N(食器洗浄機用)","EA","2253"
"3404502","CTN ﾆｭｰﾘﾝｽｴｰｽ 5KGX4","EA","2254"
"3411551","BI ★ﾆｭｰﾘﾝｽｴｰｽ","KG","2255"
"900000","DRM 充填機液回収ﾄﾞﾗﾑ","EA","2256"
"960250","PLA ｾﾝｼﾞｮｳｷﾖｳﾀﾌﾞﾚｯﾄﾎﾙﾀﾞｰ","EA","2257"
"985170","CTN ｾﾝｼﾞｮｳｷﾖｳﾀﾌﾞﾚｯﾄﾎﾙﾀﾞｰ1X6ﾑｼﾞ","EA","2258"
"959840","LBL ｾﾝｼﾞｮｳｷﾖｳﾀﾌﾞﾚｯﾄﾎﾙﾀﾞｰ(ﾏｰｹ)","EA","2259"
"3045221","CAP KC60550(20L共用)","EA","2260"
"4550499","BI ﾌﾟﾛｽﾍﾟｼｬﾙ ﾐﾗｺｰﾙ","KG","2261"
"2287578","TPL 共通ﾊﾟﾚｯﾄ積用･段ﾊﾟｯﾄ","EA","2262"
